Variable,Value
bat_e_1528,0.0
bat_e_1529,0.0
bat_e_153,0.0
bat_e_1530,0.0
bat_e_1531,0.0
bat_e_1532,3.8178911e-10
bat_e_1533,0.0
bat_e_1534,0.0
bat_e_1535,0.0
bat_e_1536,0.0
bat_e_1537,0.0
bat_e_1538,0.0
bat_e_1539,0.0
bat_e_154,0.0
bat_e_1540,0.0
bat_e_1541,-5.7226176e-11
bat_e_1542,0.0
bat_e_1543,0.0
bat_e_1544,0.0
bat_e_1545,0.0
bat_e_1546,0.0
bat_e_1547,0.0
bat_e_1548,0.0
bat_e_1549,0.0
bat_e_155,0.0
bat_e_1550,0.0
bat_e_1551,0.0
bat_e_1552,0.0
bat_e_1553,0.0
bat_e_1554,0.0
bat_e_1555,0.0
bat_e_1556,0.0
bat_e_1557,0.0
bat_e_1558,0.0
bat_e_1559,0.0
bat_e_156,0.0
bat_e_1560,0.0
bat_e_1561,0.0
bat_e_1562,0.0
bat_e_1563,0.0
bat_e_1564,0.0
bat_e_1565,0.0
bat_e_1566,0.0
bat_e_1567,0.0
bat_e_1568,0.0
bat_e_1569,0.0
bat_e_157,0.0
bat_e_1570,0.0
bat_e_1571,0.0
bat_e_1572,0.0
bat_e_1573,0.0
bat_e_1574,0.0
bat_e_1575,0.0
bat_e_1576,0.0
bat_e_1577,0.0
bat_e_1578,0.0
bat_e_1579,0.0
bat_e_158,0.0
bat_e_1580,0.0
bat_e_1581,0.0
bat_e_1582,0.0
bat_e_1583,0.0
bat_e_1584,0.0
bat_e_1585,0.0
bat_e_1586,0.0
bat_e_1587,0.0
bat_e_1588,0.0
bat_e_1589,0.0
bat_e_159,0.0
bat_e_1590,0.0
bat_e_1591,0.0
bat_e_1592,0.0
bat_e_1593,0.0
bat_e_1594,0.0
bat_e_1595,0.0
bat_e_1596,0.0
bat_e_1597,0.0
bat_e_1598,0.0
bat_e_1599,0.0
bat_e_16,0.0
bat_e_160,0.0
bat_e_1600,0.0
bat_e_1601,0.0
bat_e_1602,0.0
bat_e_1603,0.0
bat_e_1604,0.0
bat_e_1605,0.0
bat_e_1606,0.0
bat_e_1607,0.0
bat_e_1608,0.0
bat_e_1609,0.0
bat_e_161,0.0
bat_e_1610,0.0
bat_e_1611,0.0
bat_e_1612,0.0
bat_e_1613,0.0
bat_e_1614,0.0
bat_e_1615,0.0
bat_e_1616,0.0
bat_e_1617,0.0
bat_e_1618,0.0
bat_e_1619,0.0
bat_e_162,0.0
bat_e_1620,0.0
bat_e_1621,0.0
bat_e_1622,0.0
bat_e_1623,0.0
bat_e_1624,0.0
bat_e_1625,0.0
bat_e_1626,0.0
bat_e_1627,0.0
bat_e_1628,0.0
bat_e_1629,0.0
bat_e_163,0.0
bat_e_1630,0.0
bat_e_1631,0.0
bat_e_1632,0.0
bat_e_1633,0.0
bat_e_1634,0.0
bat_e_1635,0.0
bat_e_1636,0.0
bat_e_1637,0.0
bat_e_1638,0.0
bat_e_1639,0.0
bat_e_164,0.0
bat_e_1640,0.0
bat_e_1641,0.0
bat_e_1642,0.0
bat_e_1643,0.0
bat_e_1644,0.0
bat_e_1645,0.0
bat_e_1646,0.0
bat_e_1647,0.0
bat_e_1648,0.0
bat_e_1649,0.0
bat_e_165,0.0
bat_e_1650,0.0
bat_e_1651,0.0
bat_e_1652,0.0
bat_e_1653,0.0
bat_e_1654,0.0
bat_e_1655,0.0
bat_e_1656,0.0
bat_e_1657,0.0
bat_e_1658,0.0
bat_e_1659,-2.9431759e-11
bat_e_166,0.0
bat_e_1660,0.0
bat_e_1661,0.0
bat_e_1662,0.0
bat_e_1663,0.0
bat_e_1664,0.0
bat_e_1665,0.0
bat_e_1666,0.0
bat_e_1667,0.0
bat_e_1668,0.0
bat_e_1669,0.0
bat_e_167,0.0
bat_e_1670,0.0
bat_e_1671,0.0
bat_e_1672,0.0
bat_e_1673,0.0
bat_e_1674,0.0
bat_e_1675,0.0
bat_e_1676,0.0
bat_e_1677,0.0
bat_e_1678,0.0
bat_e_1679,0.0
bat_e_168,0.0
bat_e_1680,0.0
bat_e_1681,0.0
bat_e_1682,0.0
bat_e_1683,0.0
bat_e_1684,0.0
bat_e_1685,8.6908313e-11
bat_e_1686,8.6908313e-11
bat_e_1687,0.0
